# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    6.126126126    6.470866704    6.484529998    6.487724202
    6.141141141    6.567733667    6.589551748    6.594835794
    6.156156156    6.649072291    6.677540956    6.684548766
    6.171171171    6.691749436    6.721092023    6.728373176
    6.186186186    6.686449067    6.709969887    6.715840202
    6.201201201    6.638896918    6.654818880    6.658817977
    6.216216216    6.567838857    6.577646656    6.580115767
    6.231231231    6.497697160    6.502357924    6.503517452
    6.246246246    6.447568515    6.447389708    6.447304803
    6.261261261    6.433528301    6.430188533    6.429266584
    6.276276276    6.453804338    6.451918726    6.451339917
    6.291291291    6.474427016    6.479216245    6.480343661
    6.306306306    6.451834055    6.463401603    6.466292932
    6.321321321    6.366027334    6.378820949    6.382072462
    6.336336336    6.242382368    6.251387758    6.253684918
    6.351351351    6.140071592    6.144145184    6.145133391
    6.366366366    6.104405348    6.104469200    6.104350197
    6.381381381    6.146284329    6.144542821    6.143877921
    6.396396396    6.253815424    6.254743142    6.254675452
    6.411411411    6.401231744    6.409455159    6.411189114
    6.426426426    6.536330389    6.554452267    6.558726869
    6.441441441    6.582190662    6.608195883    6.614588950
    6.456456456    6.501284675    6.529449093    6.536525982
    6.471471471    6.334788246    6.360267413    6.366744889
    6.486486486    6.151408052    6.171074965    6.176111190
    6.501501502    5.996857920    6.007206704    6.009891645
    6.516516517    5.888421358    5.884978687    5.884171903
    6.531531532    5.829225398    5.808327503    5.803094265
    6.546546547    5.826692131    5.789175397    5.779712372
    6.561561562    5.873002851    5.828669311    5.817460880
    6.576576577    5.922127034    5.887721758    5.879015280
    6.591591592    5.931334978    5.919982554    5.917078937
    6.606606607    5.897339334    5.908046667    5.910684887
    6.621621622    5.829838777    5.850014157    5.855052968
    6.636636637    5.732337069    5.751062139    5.755783149
    6.651651652    5.610326516    5.623897488    5.627363958
    6.666666667    5.479145941    5.487040642    5.489088264
    6.681681682    5.355982600    5.357352364    5.357744377
    6.696696697    5.243224886    5.237982096    5.236696987
    6.711711712    5.137835678    5.127190972    5.124525272
    6.726726727    5.052970808    5.036870234    5.032787513
    6.741741742    5.005488854    4.984862373    4.979585134
    6.756756757    4.989791559    4.970975001    4.966101556
    6.771771772    4.989502651    4.981834248    4.979709154
    6.786786787    5.004221778    5.008610580    5.009440136
    6.801801802    5.040517778    5.048366835    5.049992834
    6.816816817    5.091647167    5.096568423    5.097418355
    6.831831832    5.147779219    5.148408204    5.148168319
    6.846846847    5.207535355    5.203617432    5.202248177
    6.861861862    5.263309593    5.257183877    5.255308303
    6.876876877    5.288885202    5.284335560    5.282955196
    6.891891892    5.249470450    5.246391321    5.245516059
    6.906906907    5.134711438    5.129237495    5.127870659
    6.921921922    4.971963434    4.962401600    4.960045233
    6.936936937    4.801454141    4.789937194    4.787065886
    6.951951952    4.652682775    4.643119404    4.640705323
    6.966966967    4.532740764    4.529947110    4.529213988
    6.981981982    4.439746780    4.444789667    4.446003547
    6.996996997    4.371125875    4.378959215    4.380849502
    7.012012012    4.324381212    4.331197168    4.332805085
    7.027027027    4.304767928    4.312376987    4.314147375
    7.042042042    4.321386054    4.331476966    4.333839915
    7.057057057    4.370306663    4.380824553    4.383305047
    7.072072072    4.433339267    4.439882984    4.441432038
    7.087087087    4.490391517    4.488921591    4.488553419
    7.102102102    4.524430777    4.514435088    4.511999231
    7.117117117    4.526611705    4.511677386    4.508037002
    7.132132132    4.493605985    4.481399974    4.478458967
    7.147147147    4.414802546    4.414294103    4.414299142
    7.162162162    4.279849063    4.294575735    4.298406203
    7.177177177    4.105988582    4.132617645    4.139418804
    7.192192192    3.931078813    3.963955969    3.972298195
    7.207207207    3.783025494    3.816890069    3.825458277
    7.222222222    3.665600044    3.695132906    3.702617404
    7.237237237    3.562296000    3.582312519    3.587436683
    7.252252252    3.463999947    3.469793311    3.471357720
    7.267267267    3.386350730    3.376317067    3.373876458
