# energy grid [eV]     JDOS [1/eV]
#
    1.831831832    0.000317208
    1.841841842    0.000319960
    1.851851852    0.000322802
    1.861861862    0.000325684
    1.871871872    0.000328550
    1.881881882    0.000331336
    1.891891892    0.000333971
    1.901901902    0.000336389
    1.911911912    0.000338527
    1.921921922    0.000340337
    1.931931932    0.000341796
    1.941941942    0.000342910
    1.951951952    0.000343716
    1.961961962    0.000344282
    1.971971972    0.000344699
    1.981981982    0.000345065
    1.991991992    0.000345479
    2.002002002    0.000346022
    2.012012012    0.000346750
    2.022022022    0.000347691
    2.032032032    0.000348840
    2.042042042    0.000350169
    2.052052052    0.000351635
    2.062062062    0.000353187
    2.072072072    0.000354778
    2.082082082    0.000356367
    2.092092092    0.000357923
    2.102102102    0.000359422
    2.112112112    0.000360841
    2.122122122    0.000362155
    2.132132132    0.000363340
    2.142142142    0.000364375
    2.152152152    0.000365243
    2.162162162    0.000365941
    2.172172172    0.000366480
    2.182182182    0.000366889
    2.192192192    0.000367205
    2.202202202    0.000367474
    2.212212212    0.000367741
    2.222222222    0.000368042
    2.232232232    0.000368404
    2.242242242    0.000368847
    2.252252252    0.000369390
    2.262262262    0.000370050
    2.272272272    0.000370848
    2.282282282    0.000371803
    2.292292292    0.000372932
    2.302302302    0.000374246
    2.312312312    0.000375747
    2.322322322    0.000377427
    2.332332332    0.000379260
    2.342342342    0.000381207
    2.352352352    0.000383214
    2.362362362    0.000385224
    2.372372372    0.000387180
    2.382382382    0.000389040
    2.392392392    0.000390778
    2.402402402    0.000392382
    2.412412412    0.000393854
    2.422422422    0.000395204
    2.432432432    0.000396446
    2.442442442    0.000397587
    2.452452452    0.000398631
    2.462462462    0.000399572
    2.472472472    0.000400401
    2.482482482    0.000401113
    2.492492492    0.000401706
    2.502502503    0.000402191
    2.512512513    0.000402585
    2.522522523    0.000402915
    2.532532533    0.000403217
    2.542542543    0.000403530
    2.552552553    0.000403895
    2.562562563    0.000404349
    2.572572573    0.000404917
    2.582582583    0.000405613
    2.592592593    0.000406433
    2.602602603    0.000407362
    2.612612613    0.000408377
    2.622622623    0.000409448
    2.632632633    0.000410547
    2.642642643    0.000411653
    2.652652653    0.000412756
    2.662662663    0.000413862
    2.672672673    0.000414992
    2.682682683    0.000416185
    2.692692693    0.000417485
    2.702702703    0.000418932
    2.712712713    0.000420556
    2.722722723    0.000422360
    2.732732733    0.000424327
    2.742742743    0.000426421
    2.752752753    0.000428597
    2.762762763    0.000430807
    2.772772773    0.000433009
    2.782782783    0.000435160
    2.792792793    0.000437224
    2.802802803    0.000439164
    2.812812813    0.000440951
    2.822822823    0.000442563
    2.832832833    0.000443993
    2.842842843    0.000445250
    2.852852853    0.000446362
    2.862862863    0.000447370
    2.872872873    0.000448325
    2.882882883    0.000449276
    2.892892893    0.000450266
    2.902902903    0.000451326
    2.912912913    0.000452473
    2.922922923    0.000453714
    2.932932933    0.000455048
    2.942942943    0.000456472
    2.952952953    0.000457977
    2.962962963    0.000459550
    2.972972973    0.000461174
    2.982982983    0.000462824
    2.992992993    0.000464472
    3.003003003    0.000466086
    3.013013013    0.000467640
    3.023023023    0.000469116
    3.033033033    0.000470510
    3.043043043    0.000471831
    3.053053053    0.000473105
    3.063063063    0.000474361
    3.073073073    0.000475639
    3.083083083    0.000476980
    3.093093093    0.000478424
    3.103103103    0.000480008
    3.113113113    0.000481762
    3.123123123    0.000483703
    3.133133133    0.000485830
    3.143143143    0.000488121
    3.153153153    0.000490535
    3.163163163    0.000493014
    3.173173173    0.000495500
    3.183183183    0.000497943
    3.193193193    0.000500305
    3.203203203    0.000502568
    3.213213213    0.000504723
    3.223223223    0.000506760
    3.233233233    0.000508671
    3.243243243    0.000510444
    3.253253253    0.000512073
    3.263263263    0.000513563
    3.273273273    0.000514929
    3.283283283    0.000516200
    3.293293293    0.000517406
    3.303303303    0.000518578
    3.313313313    0.000519744
    3.323323323    0.000520932
    3.333333333    0.000522173
    3.343343343    0.000523502
    3.353353353    0.000524957
    3.363363363    0.000526573
    3.373373373    0.000528370
    3.383383383    0.000530349
    3.393393393    0.000532487
    3.403403403    0.000534745
    3.413413413    0.000537069
    3.423423423    0.000539405
    3.433433433    0.000541700
    3.443443443    0.000543909
    3.453453453    0.000545999
    3.463463463    0.000547953
    3.473473473    0.000549766
    3.483483483    0.000551452
    3.493493493    0.000553045
    3.503503504    0.000554586
    3.513513514    0.000556120
    3.523523524    0.000557677
    3.533533534    0.000559261
    3.543543544    0.000560847
    3.553553554    0.000562383
    3.563563564    0.000563797
    3.573573574    0.000565016
    3.583583584    0.000565977
    3.593593594    0.000566642
    3.603603604    0.000567000
    3.613613614    0.000567071
    3.623623624    0.000566903
    3.633633634    0.000566564
    3.643643644    0.000566136
    3.653653654    0.000565705
    3.663663664    0.000565352
    3.673673674    0.000565141
    3.683683684    0.000565115
    3.693693694    0.000565293
    3.703703704    0.000565673
    3.713713714    0.000566236
    3.723723724    0.000566962
    3.733733734    0.000567834
    3.743743744    0.000568854
    3.753753754    0.000570036
    3.763763764    0.000571411
    3.773773774    0.000573011
    3.783783784    0.000574864
    3.793793794    0.000576978
    3.803803804    0.000579331
    3.813813814    0.000581869
    3.823823824    0.000584506
    3.833833834    0.000587143
    3.843843844    0.000589680
    3.853853854    0.000592041
    3.863863864    0.000594183
    3.873873874    0.000596102
    3.883883884    0.000597824
    3.893893894    0.000599392
    3.903903904    0.000600852
    3.913913914    0.000602246
    3.923923924    0.000603602
    3.933933934    0.000604937
    3.943943944    0.000606257
    3.953953954    0.000607559
    3.963963964    0.000608830
    3.973973974    0.000610051
    3.983983984    0.000611202
    3.993993994    0.000612268
    4.004004004    0.000613247
    4.014014014    0.000614149
    4.024024024    0.000615003
    4.034034034    0.000615844
    4.044044044    0.000616715
    4.054054054    0.000617655
    4.064064064    0.000618699
    4.074074074    0.000619869
    4.084084084    0.000621178
    4.094094094    0.000622623
    4.104104104    0.000624190
    4.114114114    0.000625857
    4.124124124    0.000627600
    4.134134134    0.000629395
    4.144144144    0.000631215
    4.154154154    0.000633036
    4.164164164    0.000634834
    4.174174174    0.000636586
    4.184184184    0.000638273
    4.194194194    0.000639876
    4.204204204    0.000641377
    4.214214214    0.000642751
    4.224224224    0.000643967
    4.234234234    0.000644998
    4.244244244    0.000645826
    4.254254254    0.000646463
    4.264264264    0.000646960
    4.274274274    0.000647397
    4.284284284    0.000647875
    4.294294294    0.000648488
    4.304304304    0.000649302
    4.314314314    0.000650341
    4.324324324    0.000651583
    4.334334334    0.000652967
    4.344344344    0.000654405
    4.354354354    0.000655796
    4.364364364    0.000657036
    4.374374374    0.000658035
    4.384384384    0.000658722
    4.394394394    0.000659062
    4.404404404    0.000659062
    4.414414414    0.000658774
    4.424424424    0.000658282
    4.434434434    0.000657684
    4.444444444    0.000657070
    4.454454454    0.000656512
    4.464464464    0.000656059
    4.474474474    0.000655734
    4.484484484    0.000655543
    4.494494494    0.000655482
    4.504504505    0.000655539
    4.514514515    0.000655703
    4.524524525    0.000655968
    4.534534535    0.000656336
    4.544544545    0.000656813
    4.554554555    0.000657414
    4.564564565    0.000658158
    4.574574575    0.000659067
    4.584584585    0.000660159
    4.594594595    0.000661446
    4.604604605    0.000662928
    4.614614615    0.000664585
    4.624624625    0.000666379
    4.634634635    0.000668257
    4.644644645    0.000670157
    4.654654655    0.000672022
    4.664664665    0.000673803
    4.674674675    0.000675468
    4.684684685    0.000677001
    4.694694695    0.000678401
    4.704704705    0.000679674
    4.714714715    0.000680838
    4.724724725    0.000681919
    4.734734735    0.000682947
    4.744744745    0.000683958
    4.754754755    0.000684983
    4.764764765    0.000686037
    4.774774775    0.000687116
    4.784784785    0.000688194
    4.794794795    0.000689230
    4.804804805    0.000690176
    4.814814815    0.000690990
    4.824824825    0.000691655
    4.834834835    0.000692185
    4.844844845    0.000692628
    4.854854855    0.000693053
    4.864864865    0.000693536
    4.874874875    0.000694136
    4.884884885    0.000694882
    4.894894895    0.000695777
    4.904904905    0.000696801
    4.914914915    0.000697931
    4.924924925    0.000699146
    4.934934935    0.000700437
    4.944944945    0.000701804
    4.954954955    0.000703250
    4.964964965    0.000704774
    4.974974975    0.000706368
    4.984984985    0.000708018
    4.994994995    0.000709703
    5.005005005    0.000711401
    5.015015015    0.000713090
    5.025025025    0.000714746
    5.035035035    0.000716347
    5.045045045    0.000717881
    5.055055055    0.000719350
    5.065065065    0.000720775
    5.075075075    0.000722197
    5.085085085    0.000723670
    5.095095095    0.000725249
    5.105105105    0.000726982
    5.115115115    0.000728907
    5.125125125    0.000731046
    5.135135135    0.000733407
    5.145145145    0.000735980
    5.155155155    0.000738738
    5.165165165    0.000741638
